ID,City,Municipality,Neighborhood,Property_Type,Property_Subtype,Area,Rooms,Current_Floor,Total_Floors,Advertiser_Type,Photo_Count,Total_Price_EUR,Scrape_Date
5425646878628,Beograd,Surčin,Jakovo,flat,Stan,41.0,2.0 Broj soba,I,1 Spratnost,Vlasnik,10,79950.0,2026-06-21 15:44:37
5425646891052,Beograd,Surčin,Jakovo,flat,Stan,47.48,2.0 Broj soba,VPR,1 Spratnost,Vlasnik,14,99700.0,2026-06-21 15:44:37
5425645200114,Beograd,Sopot,Rogača,flat,Stan,60.0,3.0 Broj soba,I,2 Spratnost,Vlasnik,19,115000.0,2026-06-21 15:44:37
5425647170612,Beograd,Zemun,Tošin bunar,flat,Stan,38.29,1.5 Broj soba,II,8 Spratnost,Investitor,1,122528.0,2026-06-21 15:44:37
5425647301513,Beograd,Stari grad,Studentski trg,flat,Stan,45.0,2.0 Broj soba,I,6 Spratnost,Agencija,9,224000.0,2026-06-21 15:44:37
5425647306969,Beograd,Voždovac,Jajinci,flat,Stan,45.0,1.5 Broj soba,I,3 Spratnost,Investitor,6,99900.0,2026-06-21 15:44:37
5425646935637,Beograd,Zvezdara,Bulevar kralja Aleksandra,flat,Stan,91.0,4.0 Broj soba,VI,6 Spratnost,Agencija,17,260000.0,2026-06-21 15:44:37
5425647007448,Beograd,Voždovac,Braće Jerković,flat,Stan,62.7,2.0 Broj soba,I,5 Spratnost,Agencija,6,168036.0,2026-06-21 15:44:37
5425647131049,Beograd,Voždovac,Jajinci,flat,Stan,97.0,4.0 Broj soba,II,2 Spratnost,Vlasnik,20,197000.0,2026-06-21 15:44:37
5425647304279,Beograd,Stari grad,Gundulićev venac,flat,Stan,104.0,4.0 Broj soba,IV,5 Spratnost,Agencija,20,410000.0,2026-06-21 15:44:37
5425647274448,Beograd,Zvezdara,Crveni krst,flat,Stan,82.0,3.0 Broj soba,IV,5 Spratnost,Agencija,20,329000.0,2026-06-21 15:44:37
5425646769569,Beograd,Voždovac,Braće Jerković,flat,Stan,70.0,2.5 Broj soba,I,6 Spratnost,Vlasnik,9,180000.0,2026-06-21 15:44:37
5425647172747,Beograd,Voždovac,Vojvode Stepe,flat,Stan,63.0,3.0 Broj soba,IV,7 Spratnost,Agencija,20,245700.0,2026-06-21 15:44:37
5425647170613,Beograd,Voždovac,Vojvode Stepe,flat,Stan,45.0,2.0 Broj soba,IV,7 Spratnost,Agencija,18,180000.0,2026-06-21 15:44:37
5425645222601,Beograd,Vračar,Crveni krst,flat,Stan,77.0,3.0 Broj soba,I,6 Spratnost,Agencija,3,294526.0,2026-06-21 15:44:37
5425647172844,Beograd,Voždovac,Vojvode Stepe,flat,Stan,72.0,3.0 Broj soba,VI,8 Spratnost,Agencija,14,273600.0,2026-06-21 15:44:37
5425647172740,Beograd,Voždovac,Vojvode Stepe,flat,Stan,55.0,2.0 Broj soba,III,7 Spratnost,Agencija,17,209000.0,2026-06-21 15:44:37
5425647238231,Beograd,Zvezdara,Kluz,flat,Stan,55.0,3.0 Broj soba,I,5 Spratnost,Agencija,20,180000.0,2026-06-21 15:44:37
5425647303821,Beograd,Stari grad,Dorćol,flat,Stan,57.0,2.0 Broj soba,V,7 Spratnost,Agencija,9,256500.0,2026-06-21 15:44:37
5425646779713,Beograd,Zemun,Gornji grad,flat,Stan,54.36,2.5 Broj soba,VPR,2 Spratnost,Agencija,3,173000.0,2026-06-21 15:44:37
5425647275306,Beograd,Čukarica,Banovo brdo,flat,Stan,64.16,2.0 Broj soba,V Spratnost,,Agencija,12,271000.0,2026-06-21 15:44:37
5425647265460,Beograd,Stari grad,Centar,flat,Stan,80.0,3.0 Broj soba,I,6 Spratnost,Agencija,20,399000.0,2026-06-21 15:44:37
5425646932520,Beograd,Vračar,Kalenić pijaca,flat,Stan,82.0,3.0 Broj soba,II,2 Spratnost,Agencija,20,319000.0,2026-06-21 15:44:37
5425645973063,Beograd,Stari grad,Knez Mihailova,flat,Stan,73.0,3.0 Broj soba,IV,4 Spratnost,Agencija,20,389000.0,2026-06-21 15:44:37
5425646998472,Beograd,Zvezdara,Mirijevo,flat,Stan,35.0,1.5 Broj soba,VPR,4 Spratnost,Investitor,6,92400.0,2026-06-21 15:44:37
5425646657012,Beograd,Novi Beograd,Blok 65,flat,Stan,134.4,5.0 Broj soba,IX,9 Spratnost,Agencija,12,513515.0,2026-06-21 15:44:37
5425646617492,Beograd,Vračar,Centar,flat,Stan,120.0,4.0 Broj soba,VI,7 Spratnost,Agencija,20,350000.0,2026-06-21 15:44:37
5425646442373,Beograd,Savski venac,Beograd na vodi,flat,Stan,163.5,4.0 Broj soba,,,Agencija,34,1800000.0,2026-06-21 15:44:37
5425645265364,Beograd,Zemun,Batajnica,flat,Stan,64.91,2.5 Broj soba,VPR,3 Spratnost,Investitor,3,149293.0,2026-06-21 15:44:37
5425646792766,Beograd,Zvezdara,Mirijevo,flat,Stan,86.02,3.0 Broj soba,III,3 Spratnost,Agencija,24,206448.0,2026-06-21 15:44:37
5425647305772,Beograd,Čukarica,Cerak,flat,Stan,87.0,3.0 Broj soba,II,3 Spratnost,Agencija,27,219500.0,2026-06-21 15:44:37
5425647306901,Beograd,Novi Beograd,Paviljoni,flat,Stan,26.0,1.0 Broj soba,I,5 Spratnost,Agencija,17,135000.0,2026-06-21 15:44:37
5425646384662,Beograd,Zemun,Prvomajska,flat,Stan,50.0,2.5 Broj soba,I,1 Spratnost,Agencija,10,119989.0,2026-06-21 15:44:37
5425647306989,Beograd,Zvezdara,Mirijevo,flat,Stan,80.0,3.0 Broj soba,IV,8 Spratnost,Agencija,19,245000.0,2026-06-21 15:44:37
5425647306987,Beograd,Zvezdara,Cvetanova ćuprija,flat,Stan,55.0,2.0 Broj soba,I,4 Spratnost,Agencija,3,132000.0,2026-06-21 15:44:37
5425646080745,Beograd,Palilula,Borča,flat,Stan,61.0,3.0 Broj soba,II,2 Spratnost,Agencija,15,119900.0,2026-06-21 15:44:37
5425647124099,Beograd,Vračar,Krunski venac,flat,Stan,76.0,3.5 Broj soba,II,5 Spratnost,Agencija,20,360000.0,2026-06-21 15:44:37
5425647198463,Beograd,Vračar,Hram svetog Save,flat,Stan,42.0,2.0 Broj soba,III,4 Spratnost,Agencija,14,233000.0,2026-06-21 15:44:37
5425646940053,Beograd,Novi Beograd,Blok 65,flat,Stan,56.0,2.0 Broj soba,IV,7 Spratnost,Agencija,12,261750.0,2026-06-21 15:44:37
5425647306470,Beograd,Zvezdara,Kluz,flat,Stan,44.0,1.5 Broj soba,VPR,4 Spratnost,Vlasnik,20,220000.0,2026-06-21 15:44:37
5425646672395,Beograd,Zvezdara,Bulbulder,flat,Stan,86.0,3.5 Broj soba,IV,6 Spratnost,Investitor,11,277000.0,2026-06-21 15:44:37
5425647308740,Beograd,Voždovac,Jajinci,flat,Stan,74.0,3.0 Broj soba,I,2 Spratnost,Investitor,19,162000.0,2026-06-21 15:44:37
5425647309304,Beograd,Čukarica,Čukarička padina,flat,Stan,28.0,1.0 Broj soba,I,10 Spratnost,Vlasnik,4,110000.0,2026-06-21 15:44:37
5425647299597,Beograd,Novi Beograd,Blok 65,flat,Stan,443.58,5+ Broj soba,,,Agencija,5,5000000.0,2026-06-21 15:44:37
5425646719859,Beograd,Zemun,Centar,flat,Stan,77.0,3.0 Broj soba,II Spratnost,,Agencija,0,215600.0,2026-06-21 15:44:37
5425647306498,Beograd,Zvezdara,Mirijevo,flat,Stan,41.0,1.0 Broj soba,V,8 Spratnost,Vlasnik,0,105000.0,2026-06-21 15:44:37
5425647076390,Beograd,Savski venac,Beograd na vodi,flat,Stan,109.0,4.0 Broj soba,XV,20 Spratnost,Agencija,17,525000.0,2026-06-21 15:44:37
5425646813390,Beograd,Vračar,Crveni krst,flat,Stan,65.0,2.5 Broj soba,VI,6 Spratnost,Agencija,18,245000.0,2026-06-21 15:44:37
5425646899575,Beograd,Zemun,Cara Dušana,flat,Stan,58.0,3.0 Broj soba,V,6 Spratnost,Vlasnik,12,203000.0,2026-06-21 15:44:37
5425647257673,Beograd,Savski venac,Stadion Crvene zvezde,flat,Stan,38.0,1.5 Broj soba,III,12 Spratnost,Agencija,12,133000.0,2026-06-21 15:44:37
5425647308990,Beograd,Palilula,Borča,flat,Stan,86.0,3.0 Broj soba,VPR,2 Spratnost,Agencija,0,180000.0,2026-06-21 15:44:37
5425645802219,Beograd,Voždovac,Saobraćajni fakultet,flat,Stan,55.0,2.0 Broj soba,VIII,8 Spratnost,Agencija,12,199000.0,2026-06-21 15:44:37
5425647308896,Beograd,Zemun,Gornji grad,flat,Stan,49.0,2.0 Broj soba,PSUT,4 Spratnost,Investitor,15,112700.0,2026-06-21 15:44:37
5425647308788,Beograd,Čukarica,Žarkovo,flat,Stan,30.0,1.5 Broj soba,II,6 Spratnost,Vlasnik,14,120000.0,2026-06-21 15:44:37
5425645690294,Beograd,Zvezdara,Učiteljsko naselje,flat,Stan,75.74,2.5 Broj soba,I,4 Spratnost,Investitor,17,227220.0,2026-06-21 15:44:37
5425647171021,Beograd,Zemun,Novi grad,flat,Stan,84.77,3.5 Broj soba,III,4 Spratnost,Agencija,19,199999.0,2026-06-21 15:44:37
5425647163619,Beograd,Palilula,Bogoslovija,flat,Stan,45.0,2.0 Broj soba,VPR Spratnost,,Agencija,10,170000.0,2026-06-21 15:44:37
5425645322014,Beograd,Zvezdara,Učiteljsko naselje,flat,Stan,26.65,0.5 Broj soba,VPR,4 Spratnost,Investitor,6,93275.0,2026-06-21 15:44:37
5425647237881,Beograd,Savski venac,Dedinje,flat,Stan,92.0,2.5 Broj soba,VPR,3 Spratnost,Agencija,20,329000.0,2026-06-21 15:44:37
5425647063049,Beograd,Zemun,Batajnica,flat,Stan,55.0,3.0 Broj soba,PSUT,5 Spratnost,Agencija,9,99900.0,2026-06-21 15:44:37
5425647310878,Beograd,Palilula,Borča,flat,Stan,32.0,1.5 Broj soba,II,3 Spratnost,Vlasnik,20,81600.0,2026-06-21 15:44:37
